Name,ReleaseYear,Genre,TotalPrizePool,TotalTournaments,TotalPlayers,BiggestTournament,BiggestPrizePool,TournamentDate,TournamentLocation
Mortal Kombat X,2015,Fighting Game,523532.42,62,100,ESL MKX Pro League Season 3 Finals,200000,6/11/2016,united states
Mortal Kombat XL,2016,Fighting Game,129203.79,17,50,Evo 2016 (MKXL),57130,7/17/2016,united states
Mystery Game Tournament,2019,Fighting Game,10995,8,56,Combo Breaker 2019 (Mystery),2560,5/26/2019,united states
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting Game,4550,5,7,WWG Chicago 2016 (Naruto Shippuden 4),1000,8/21/2016,united states
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting Game,1994,4,10,NorCal Regionals 2016 (NB:HID),1120,3/27/2016,united states
Persona 4 Arena,2012,Fighting Game,6336.63,11,42,Evo 2013 (P4A),4000,7/12/2013,united states
Persona 4 Arena Ultimax,2013,Fighting Game,18828.16,19,58,Evo 2015 (P4AU),14370,7/17/2015,united states
Pokkén Tournament,2016,Fighting Game,77016.66,25,62,Evo 2016 (Pokken),21800,7/17/2016,united states
Pokkén Tournament DX,2017,Fighting Game,20075.4,25,41,Oceania International Championships (Pokken DX),5000,2/17/2019,australia
Power Rangers: Battle for the Grid,2019,Fighting Game,1050,2,6,Siv's Fighter Tournament 5,850,6/21/2019,online
Power Rangers: Legacy Wars,2017,Fighting Game,4178.55,1,2,M Sport Nationals (Power Rangers: Legacy Wars),4178.55,12/3/2017,sweden
Project Justice,2000,Fighting Game,165,1,3,AnimEVO 2019 (PJ),165,8/3/2019,united states
Project M,2010,Fighting Game,205292.09,335,560,Paragon Los Angeles 2015 (Project M),9050,9/6/2015,united states
Rising Thunder,2015,Fighting Game,1000,1,3,SoCal Regionals 2015 (Rising Thunder),1000,10/11/2015,united states
Rivals of Aether,2015,Fighting Game,37587,12,38,GENESIS 7: RoA,18092,1/26/2020,united states
Sailor Moon S,1995,Fighting Game,3191.19,10,15,Canada Cup 2018 (SMS),763,10/28/2018,canada
Samurai Shodown (2019),2019,Fighting Game,68009.91,15,58,Evo 2019 (Samurai Shodown),47290,8/3/2019,united states
Samurai Shodown V Special,2004,Fighting Game,490.11,4,13,CEOtaku 2019 (SSVS),190,9/29/2019,united states
Shovel Knight Showdown,2019,Fighting Game,60,1,3,Hard Read Ultimate #49 Showdown Singles,60,12/21/2019,united states
Skullgirls,2012,Fighting Game,300,1,3,CEO 2013 (Skullgirls),300,6/30/2013,united states
Skullgirls 2nd Encore,2015,Fighting Game,17871,11,33,Combo Breaker 2019 (SG2nd),4820,5/26/2019,united states
Skullgirls Encore,2014,Fighting Game,9155.4,13,37,Combo Breaker 2016 (SG:Encore),4530,5/29/2016,united states
SNK Heroines: Tag Team Frenzy,2018,Fighting Game,430,1,3,CEOtaku 2018 (SNK Heroines),430,9/23/2018,united states
Soul Calibur II,2003,Fighting Game,4790,7,15,MLG New York Championships 2004 (Soul Calibur II),2700,10/26/2004,united states
Soul Calibur II HD Online,2013,Fighting Game,945.41,5,29,Combo Breaker 2017 (Soul Calibur II HD),650,5/28/2017,united states
Soul Calibur IV,2008,Fighting Game,100260,3,4,WCG Ultimate Gamer Season 1,100000,10/3/2010,united states
Soul Calibur V,2012,Fighting Game,60008.54,26,78,MLG Spring Championship 2012 (Soul Calibur V),16700,6/10/2012,united states
Soul Calibur VI,2018,Fighting Game,94795.21,36,96,SoulCalibur World Invitational,25000,11/2/2019,united states
Street Fighter Alpha 2,1996,Fighting Game,1390,8,17,Combo Breaker 2019 (SFA2),410,5/26/2019,united states
Street Fighter Alpha 3,1998,Fighting Game,300,4,15,Summer Jam 12 (SFA3),300,9/2/2018,united states
Street Fighter EX2 Plus,1999,Fighting Game,350,2,5,Combo Breaker 2019 (SFEX2P),190,5/26/2019,united states
Street Fighter III: 3rd Strike,1999,Fighting Game,49278.86,34,81,Evo 2006 (SFIII: 3rd Strike),10250,8/20/2006,united states
Street Fighter IV,2009,Fighting Game,7938.22,12,41,GODSGARDEN #2,2767.21,3/6/2010,japen
Street Fighter V,2016,Fighting Game,2202726.43,120,233,Capcom Cup 2017,380000,12/10/2017,united states
Street Fighter V: Arcade Edition,2018,Fighting Game,2017135.95,100,229,Capcom Cup 2019,379500,12/15/2019,united states
Street Fighter V: Champion Edition,2020,Fighting Game,1000,1,4,DreamHack Anaheim 2020 (SFV:CE),1000,2/23/2020,united states
Street Fighter X Tekken,2012,Fighting Game,84090.64,93,115,Street Fighter 25th Ann. - Grand Finals (SFxT),53700,12/8/2012,united states
Super Smash Bros.,1999,Fighting Game,68042.81,121,233,Super Smash Con (SSB Singles),6540,8/9/2015,united states
Super Smash Bros. Brawl,2008,Fighting Game,246715.83,344,499,MLG Dallas 2010 (SSBB),35000,11/7/2010,united states
Super Smash Bros. for Wii U,2014,Fighting Game,1511976.47,1022,1264,2GGC,50000,12/3/2017,united states
Super Smash Bros. Melee,2001,Fighting Game,3181748.69,2604,1875,Smash Summit 5 (Singles),83758,11/5/2017,united states
Super Smash Bros. Ultimate,2018,Fighting Game,1275543.66,1135,1834,Smash Ultimate Summit (Singles),51995.72,3/10/2019,united states
Super Street Fighter II Turbo,1994,Fighting Game,23678.05,44,104,Evo 2007 (SSFII Turbo),10250,8/26/2007,united states
Super Street Fighter II Turbo HD Remix,2008,Fighting Game,16360,8,29,Street Fighter 25th Ann. - Grand Finals (SFII Turbo HD),10000,12/8/2012,united states
Super Street Fighter IV,2010,Fighting Game,20877.3,16,40,ESWC 2010 (SSF IV),14000,7/4/2010,france
Super Street Fighter IV Arcade Edition,2010,Fighting Game,343878.08,202,153,Street Fighter 25th Ann. - Grand Finals (SSFIV:AE),53700,12/8/2012,united states
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Fighting Game,1330.81,8,13,Frosty Faustings XI: Tatsunoko vs. Capcom: Ultimate All-Stars,290,1/19/2019,united states
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,Fighting Game,820,2,7,Combo Breaker 2019 (TMNT),500,5/26/2019,united states
Tekken 4,2001,Fighting Game,12500,4,4,IVGF Northwest Regional (Tekken 4),12500,3/1/2003,united states
Tekken 5,2004,Fighting Game,10250,9,10,Evo 2006 (Tekken 5),10250,8/20/2006,united states
Tekken 5: Dark Resurrection,2006,Fighting Game,12180,5,18,Evo 2007 (Tekken 5:DR),10250,8/26/2007,united states
Tekken 6,2007,Fighting Game,119874.64,30,59,MLG Dallas 2010 (Tekken 6),35000,11/7/2010,united states
Tekken 7,2015,Fighting Game,1592472.65,195,386,TWT Finals 2019,250000,12/8/2019,thailand
Tekken Tag Tournament,1999,Fighting Game,0,4,7,Evo 2003 (TTT),0,8/10/2003,united states
Tekken Tag Tournament 2,2011,Fighting Game,125965.7,138,142,E-Stars TTT2 Global Championship,21100,7/28/2012,south korea
Them's Fightin' Herds,2018,Fighting Game,190,1,3,CEOtaku 2019 (TFH),190,9/29/2019,united states
TowerFall: Ascension,2013,Fighting Game,0,0,0,NA,NA,NA,NA
Ultimate Marvel vs. Capcom 3,2011,Fighting Game,116733.16,169,190,Evo 2013 (UMvC3),13020,7/14/2013,united states
Ultimate Mortal Kombat 3,1995,Fighting Game,150,2,6,Combo Breaker 2015 (UMK3),150,5/24/2015,united states
Ultra Fight Da! Kyanta 2,2019,Fighting Game,320,1,3,AnimEVO 2019 (UFDK2),320,8/3/2019,united states
Ultra Street Fighter IV,2014,Fighting Game,816673.46,227,226,Capcom Cup 2015,250000,12/6/2015,united states
Umineko: Golden Fantasia,2010,Fighting Game,90,1,3,AnimEVO 2019 (U:GF),90,8/3/2019,united states
Under Night In-Birth EXE: Late,2014,Fighting Game,6025.76,23,52,Anime Ascension (UNIEL),1270,2/28/2016,united states
Under Night In-Birth EXE: Late[st],2015,Fighting Game,46553.33,34,98,Evo 2019 (UNIST),11570,8/3/2019,united states
Under Night In-Birth Exe:Late[cl-r],2020,Fighting Game,1000,1,4,DreamHack Anaheim 2020 (UNICLR),1000,2/23/2020,united states
Vampire Savior,1997,Fighting Game,8038.74,15,27,Combo Breaker 2018 (VS),1370,5/27/2018,united states
Virtua Fighter 4: Evolution,2002,Fighting Game,0,3,6,Evo 2003 (Virtua Fighter 4),0,8/10/2003,united states
Virtua Fighter 5,2007,Fighting Game,39830,7,14,WCG 2008 (Virtua Fighter 5),17500,11/9/2008,germany
Virtua Fighter 5 Final Showdown,2010,Fighting Game,573.77,6,28,Electric Cancel 2019 (VF5:FS),160,10/6/2019,united states
WWE 2K20,2019,Fighting Game,50000,2,20,Twitch Rivals WWE 2K20 Showdown - Bracket,40000,10/23/2019,online
Asphalt 4,2008,Racing,29500,2,5,WCG 2008 (Asphalt 4),17500,11/9/2008,germany
Asphalt 9: Legends,2018,Racing,51520,2,5,Milan Games Week 2019,31900,9/28/2019,italy
Assetto Corsa,2014,Racing,164776.1,25,68,Formula V Challenge Final 2019/20,30996,1/19/2020,switzerland
Assetto Corsa Competizione,2018,Racing,0,0,0,NA,NA,NA,NA
Dirt Rally 2.0,2019,Racing,10000,2,5,World Rally Championship 2020,5000,1/12/2020,united kingdom
F1 2018,2018,Racing,200000,1,21,F1 Esports 2018,200000,11/17/2018,united kingdom
F1 2019,2019,Racing,538047.38,2,25,F1 Esports Pro Series 2019,500000,12/4/2019,united kingdom
Forza Motorsport 2,2007,Racing,222000,2,17,CGS 2008 (Forza Motorsport 2),207000,7/28/2008,united states
Forza Motorsport 3,2009,Racing,11000,2,3,WCG 2010 (Forza Motorsport 3),11000,10/3/2010,united states
Forza Motorsport 4,2011,Racing,132.37,1,2,Assembly Winter 2012 (Forza Motorsport 4),132.37,2/25/2012,finland
Forza Motorsport 6,2015,Racing,42350,9,35,Forza Racing Championship Season 2 Grand Final,35800,12/11/2016,united states
Forza Motorsport 7,2017,Racing,645200,9,102,ForzaRC IS 2019 F,230000,11/24/2019,united states
Gran Turismo 3: A-Spec,2001,Racing,3250,2,4,MLG New York Championships 2004 (GT3),1750,10/26/2004,united states
Gran Turismo 4,2004,Racing,44000,2,5,ESWC 2006 (Gran Turismo 4),32000,7/2/2006,france
Gran Turismo Sport,2017,Racing,4020,2,9,GP eRacing Series 2019,3465,12/8/2019,thailand
GRID (2019),2019,Racing,218.75,1,3,GRID Arena Cup,218.75,12/6/2019,united kingdom
iRacing.com,2008,Racing,882787.78,82,620,eNPAiS 2019,112000,10/8/2019,online
KartRider,2004,Racing,567366.35,20,76,KartRider League Dual Race 2016 (Team Ranking),71668,11/5/2016,south korea
Live for Speed,2003,Racing,9219.14,8,16,EPS Germany 3 Finals (LFS),2491.62,12/14/2003,germany
Mad Skills Motocross 2,2017,Racing,20163,1,12,Mad Skill Motocross 2 World Championship,20163,1/5/2017,sweden
Mario Kart 8 Deluxe,2017,Racing,1754.44,4,30,SNS50,700,1/11/2020,united states
NASCAR Thunder 2002,2001,Racing,7679.25,1,0,EPS Germany 1 Finals (NASCAR 2002),7679.25,12/15/2002,germany
NASCAR Thunder 2003,2002,Racing,5933.5,1,0,EPS Germany 2 Finals (NASCAR 2003),5933.5,6/15/2003,germany
Need for Speed Carbon,2006,Racing,36322.58,4,12,WCG 2007 (NfS:Carbon),20000,10/7/2007,united states
Need for Speed: Most Wanted,2005,Racing,35694.54,7,18,WCG 2006 (NfS:MW),27000,10/22/2006,italy
Need for Speed: ProStreet,2007,Racing,32208.46,3,12,WCG 2008 (NfS:PS),17500,11/9/2008,germany
Need for Speed: Shift,2009,Racing,10500,1,3,ESWC 2010 (NfS:Shift),10500,7/4/2010,france
Need for Speed: Underground,2003,Racing,35000,1,3,WCG 2004 (NfS:Underground),35000,10/10/2004,united states
Need for Speed: Underground 2,2004,Racing,35000,3,6,WCG 2005 (NfS:U2),35000,11/20/2005,singapore
Project Cars,2015,Racing,41523.71,109,39,LGCS 2016 Console,6200,11/14/2016,online
Project Cars 2,2017,Racing,66150,22,37,2019 Playseat® SMS-R Series - PRO,19320,5/11/2019,united kingdom
Project Gotham Racing 2,2003,Racing,35000,2,4,WCG 2004 (PGR2),35000,10/10/2004,united states
Project Gotham Racing 3,2005,Racing,297286.85,10,33,CGS 2007 (PGR3),191000,12/15/2007,united states
Project Gotham Racing 4,2007,Racing,25208.46,4,5,WCG 2008 (PGR 4),17500,11/9/2008,germany
RaceRoom Racing Experience,2013,Racing,85218.7,17,142,WTCR LE 2018 - MC  D1,18080,5/12/2018,online
rFactor 2,2013,Racing,1156950.81,29,137,2017 Las Vegas eRace,1000000,1/7/2017,united states
Trackmania (2020),2020,Racing,56.21,1,3,Marius89 2k89 Followers Cup,56.21,7/6/2020,online
TrackMania 2: Canyon,2011,Racing,22098.74,36,21,ESWC 2012 (TM2: Canyon),10000,11/3/2012,france
TrackMania 2: Stadium,2013,Racing,198035.21,278,342,ESWC PGW Open (TrackMania 2: Stadium),15000,11/1/2015,france
Trackmania 2: Valley,2013,Racing,779.34,2,6,Gamers Assembly 2015 (TM2: Valley),540.66,4/6/2015,france
TrackMania Nations,2006,Racing,93381.66,8,18,TMN Verizon Playlinc,40000,11/16/2006,online
TrackMania Nations Forever,2008,Racing,164729.3,71,109,ESWC 2008 (TrackMania Nations Forever),23000,8/27/2008,united states
Trackmania Turbo,2016,Racing,566.91,1,3,TrackMania Turbo Launch Tournament,566.91,4/16/2016,online
Trackmania United,2006,Racing,1027.5,1,3,Cyber-meeting 2007,1027.5,11/3/2007,france
Trackmania United Forever,2008,Racing,0,0,0,Gamers Assembly 2011 (TM United Forever),0,4/25/2011,france
Trials Fusion,2014,Racing,0,0,0,NA,NA,NA,NA
Turbo Racing League,2013,Racing,1000000,9,16,"Turbo Racing League $1,000,000 Shell-Out (Final Race)",500000,7/17/2013,united states
Carom 3D,1999,Sports,60500,4,11,WCG 2007 (Carom 3D),20000,10/7/2007,united states
Dream league Soccer,2019,Sports,0,0,0,NA,NA,NA,NA
FIFA 03,2002,Sports,54066.44,3,10,WCG 2003 (FIFA 2003),35000,10/18/2003,south korea
FIFA 04,2003,Sports,40000,3,3,WCG 2004 (FIFA 2004),40000,10/10/2004,united states
FIFA 05,2004,Sports,57728.01,8,5,WCG 2005 (FIFA 2005),35000,11/20/2005,singapore
FIFA 06,2005,Sports,110764.53,10,21,WCG 2006 (FIFA 06),27000,10/22/2006,italy
FIFA 07,2006,Sports,237812.23,13,42,CGS 2007 (FIFA 07),95500,12/15/2007,united states
FIFA 08,2007,Sports,207129.94,17,68,CGS 2008 (FIFA 08),91000,7/28/2008,united states
FIFA 09,2008,Sports,121618.34,19,52,VFBL Season 1,38402.95,2/8/2009,germany
FIFA 10,2009,Sports,117026.71,48,64,FIFA Interactive World Cup 2010,26000,5/1/2010,spain
FIFA 11,2010,Sports,93983.77,78,72,FIFA Interactive World Cup 2011,26000,6/9/2011,united states
FIFA 12,2011,Sports,54431.52,66,53,FIFA Interactive World Cup 2012,26000,5/23/2012,qatar
FIFA 13,2012,Sports,458427.82,62,53,Virgin Gaming FIFA Challenge 2013,400000,2/9/2013,united states
FIFA 14,2013,Sports,96347.81,69,57,FIFA Interactive World Cup 2014,26000,7/4/2014,brazil
FIFA 15,2014,Sports,144373.99,352,169,FIFA Interactive World Cup 2015,26000,5/19/2015,germany
FIFA 16,2015,Sports,117828.11,28,61,FIFA Interactive World Cup 2016,26000,3/22/2016,united states
FIFA 17,2016,Sports,1482612.63,48,156,FUT Championship 2017 - Finals 2017,400000,5/20/2017,germany
FIFA 18,2017,Sports,2233697.69,48,238,FIFA eWorld Cup 2018 - Grand Finals,400000,8/4/2018,united kingdom
FIFA 19,2018,Sports,3242642.34,48,303,FIFA eWorld Cup 2019 - Grand Final,500000,8/4/2019,united kingdom
FIFA 20,2019,Sports,1068673.72,38,239,FUT Champions Cup Stage 1 - Bucharest 2019,200000,11/10/2019,romania
FIFA 2000,1999,Sports,50000,1,4,WCG Challenge 2000 (FIFA 2000),50000,10/15/2000,south korea
FIFA 2001,2000,Sports,46000,2,9,WCG 2001 (FIFA 2001),35000,12/9/2001,south korea
FIFA 2002 World Cup,2002,Sports,43000,1,8,WCG 2002 (2002 FIFA World Cup),43000,11/3/2002,south korea
FIFA Online 3,2012,Sports,1434341.9,9,89,EA Champions Cup Winter 2016,500000,12/18/2016,thailand
FIFA Online 4,2018,Sports,679240,4,84,EA Champions Cup Winter 2018,240000,11/17/2018,south korea
Guitar Hero 5,2009,Sports,10500,1,3,ESWC 2010 (GH5),10500,7/4/2010,france
Guitar Hero III: Legends of Rock,2007,Sports,19000,2,8,Rock the Lake Guitar Hero Tournament,19000,6/8/2008,united states
Guitar Hero: World Tour,2008,Sports,0,0,0,NA,NA,NA,NA
Just Dance 2014,2014,Sports,0,1,3,ESWC 2014 (Just Dance),0,11/2/2014,france
Madden NFL 19,2018,Sports,125000,3,5,Madden 19 Bowl,85000,4/27/2019,united states
Madden NFL 2004,2003,Sports,1500,1,3,MLG New York 2004 (Madden 2004),1500,10/26/2003,united states
Madden NFL 2006,2005,Sports,100000,1,1,ESPN2 Madden Nation Season 1,100000,1/3/2006,united states
Madden NFL 2007,2006,Sports,100000,1,1,ESPN2 Madden Nation Season 2,100000,1/3/2007,united states
Madden NFL 2008,2007,Sports,100000,1,1,ESPN2 Madden Nation Season 3,100000,10/30/2007,united states
Madden NFL 2009,2008,Sports,100000,1,1,ESPN2 Madden Nation Season 4,100000,10/28/2008,united states
Madden NFL 2013,2012,Sports,400000,1,8,Virgin Gaming MADDEN Challenge 2013,400000,2/9/2013,united states
Madden NFL 2016,2015,Sports,50000,1,8,Madden NFL 16 Championship,50000,6/15/2016,united states
Madden NFL 2017,2016,Sports,1004000,5,42,Madden Championship 2017,500000,5/14/2017,united states
Madden NFL 2018,2017,Sports,279676.62,3,40,Madden Club Championship,259000,2/1/2018,online
Mario Tennis Aces,2018,Sports,51.3,1,3,FTVOC2 MTA,51.3,1/13/2019,online
NBA 2K Online,2012,Sports,0,0,0,NESO 2014 (NBA 2K Online),0,12/7/2014,china
NBA 2K18,2017,Sports,1000000,4,91,NBA 2K League 2018 Playoffs,600000,8/25/2018,united states
NBA 2K19,2018,Sports,0,0,0,NA,NA,NA,NA
NHL '94,1993,Sports,3818.56,8,25,King of '94 (Genesis),1345.6,9/12/2015,canada
NHL 12,2011,Sports,702.93,2,6,LanTrek 2012 (NHL 12),570.56,1/15/2012,finland
NHL 13,2012,Sports,70000,1,1,Virgin Gaming NHL Challenge 2013,70000,2/9/2013,united states
NHL 14,2013,Sports,3023.96,3,6,UGC Niagara 2014 (NHL 14),1822.4,5/4/2014,canada
NHL 15,2014,Sports,3157.16,3,3,UGC Niagara 2015 (NHL 15),1765.26,4/26/2015,canada
NHL 17,2016,Sports,0,0,0,NA,NA,NA,NA
NHL 18,2017,Sports,102700,6,20,NHL Gaming World Championship,85000,6/26/2018,united states
NHL 19,2018,Sports,22566.67,8,10,Leafs Gaming Finals,7500,1/3/2019,canada
Pro Evolution Soccer 2008,2007,Sports,2084.15,3,6,EPS France IV (PES 2008),1390.1,3/23/2008,france
Pro Evolution Soccer 2009,2008,Sports,1395.97,2,5,EMS Season IV (PES09),713.06,8/2/2009,online
Pro Evolution Soccer 2013,2012,Sports,0,0,0,NA,NA,NA,NA
Pro Evolution Soccer 2014,2013,Sports,29410.25,1,4,PES 2014 World Finals,29410.25,7/2/2014,united states
Pro Evolution Soccer 2015,2014,Sports,26544.76,1,3,PES 2015 World Finals,26544.76,6/10/2015,germany
Pro Evolution Soccer 2016,2015,Sports,27243.84,6,17,PES 2016 World Finals,25995.57,5/27/2016,italy
Pro Evolution Soccer 2017,2016,Sports,514697.71,16,39,PES 2017 World Finals,350000,6/2/2017,united states
Pro Evolution Soccer 2018,2017,Sports,250000,3,20,PES 2018 World Finals (3v3),174000,7/22/2018,spain
Pro Evolution Soccer 2019,2019,Sports,216000,2,25,PES 2019 World Finals (3v3),157200,6/29/2019,united states
Pro Evolution Soccer 3,2003,Sports,25000,2,8,ESWC 2004 (PES3),25000,7/11/2004,france
Pro Evolution Soccer 4,2004,Sports,40550.64,2,11,ESWC 2005 (PES4),40000,7/10/2005,france
Pro Evolution Soccer 5,2005,Sports,32000,1,4,ESWC 2006 (PES5),32000,7/2/2006,france
Pro Evolution Soccer 6,2006,Sports,20216.82,2,5,ESWC 2007 (PES6),19000,7/8/2007,france
Rocket League,2015,Sports,8974653.73,1050,980,RLCS Season 7 - Finals,529500,6/23/2019,united states
Soccer Stars,2018,Sports,0,0,0,NA,NA,NA,NA
Artifact,2018,Collectible Card Game,119093.54,165,275,WePlay! Artifact Mighty Triad: Agility,15000,1/20/2019,online
Faeria,2017,Collectible Card Game,0,0,0,NA,NA,NA,NA
Gwent,2016,Collectible Card Game,820757.17,109,317,GWENT Challenger #1,100000,5/13/2017,poland
Hand of the Gods,2017,Collectible Card Game,94434.2,36,48,Hand of the Gods Founder’s Tournament,50000,1/7/2018,united states
Hearthstone,2014,Collectible Card Game,21655336.92,876,2364,BlizzCon 2016 (Hearthstone),1000000,11/5/2016,united states
Legends of Runeterra,2020,Collectible Card Game,18481.03,3,14,Legends of Runeterra Invitational 2020,12075,3/17/2020,online
Magic: The Gathering Arena,2018,Collectible Card Game,5512000,36,232,Magic World Championship XXVI,1000000,2/16/2020,united states
Magic: The Gathering Online,2002,Collectible Card Game,1218000,10,130,2017 Magic Online Championship,200000,3/4/2018,united states
Pokémon TCG,1996,Collectible Card Game,0,0,0,NA,NA,NA,NA
Shadowverse,2016,Collectible Card Game,3211177.09,42,239,Shadowverse World Grand Prix 2019,1387727.29,12/27/2019,japen
Shardbound,2017,Collectible Card Game,0,0,0,NA,NA,NA,NA
The Elder Scrolls: Legends,2017,Collectible Card Game,5000,1,3,QuakeCon 2017: The Elder Scrolls: Legends Tournament,5000,8/24/2017,united states
Yu-Gi-Oh! Duel Links,2016,Collectible Card Game,48746.72,219,328,MCS VI,4570,3/4/2018,online
Catherine,2011,Puzzle Game,1470,6,9,Genesis 4 (Catherine),340,1/21/2017,united states
Catherine: Full Body,2019,Puzzle Game,185,1,3,AnimEVO 2019 (Catherine:FB),185,8/3/2019,united states
Magical Drop III,1997,Puzzle Game,130,1,3,Hyper Drive 2020 (MDIII),130,2/2/2020,united states
Pac-man,1981,Puzzle Game,0,0,0,NA,NA,NA,NA
Puyo Puyo Champions,2019,Puzzle Game,2071.8,3,9,Stunfest 2019 (PPC),1786.8,5/19/2019,france
Puyo Puyo Tetris,2014,Puzzle Game,2548.94,12,27,Animethon 26 (PPT),416.08,8/12/2019,canada
Tetris,1989,Puzzle Game,15500,5,21,CTWC 2019,10000,10/20/2019,united states
Tetris Ultimate,2014,Puzzle Game,221,1,3,Frosty Faustings IX: Tetris Ultimate Vs. Battle,221,1/28/2017,united states
Wise Star 2,2008,Puzzle Game,12000,1,3,WCG 2009 - Wise Star 2,12000,11/15/2009,china
Apex Legends,2019,Battle Royale,3686871.69,143,1036,Apex Legends Preseason Invitational,500000,9/15/2019,poland
Fortnite,2017,Battle Royale,90037277.34,564,3352,Fortnite World Cup Finals 2019 - Solo,15287500,7/28/2019,united states
Free Fire,2017,Battle Royale,913392.23,12,289,Free Fire World Series 2019,380000,11/16/2019,brazil
H1Z1,2016,Battle Royale,2067122,13,119,H1Z1: Fight for the Crown,300000,4/20/2017,united states
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2017,Battle Royale,3727653.07,38,967,PUBG Mobile Club Open - Fall Split Global Finals,476000,12/1/2019,malaysia
PLAYERUNKNOWN’S BATTLEGROUNDS,2017,Battle Royale,22936578.57,290,2728,PUBG Global Championship 2019,4080000,11/24/2019,united states
Ring of Elysium,2018,Battle Royale,70000,4,9,ROE Amazon Cup,60000,8/11/2019,online
Rules Of Survival,2017,Battle Royale,0,0,0,NA,NA,NA,NA
Gears 5,2019,Third-Person Shooter,500000,4,72,GPC San Diego Major 2020,240000,12/8/2019,united states
Gears of War,2006,Third-Person Shooter,252195.57,18,33,MLG Las Vegas 2007 (Gears of War),70000,10/14/2007,united states
Gears of War 2,2008,Third-Person Shooter,135000,5,0,MLG Orlando 2009 (Gears of War 2),75000,1/10/2010,united states
Gears of War 3,2011,Third-Person Shooter,7255.81,4,13,EGL 5 (Gears of War 3),2738.61,4/8/2012,united kingdom
Gears of War 4,2016,Third-Person Shooter,3087285,41,135,Gears Pro Circuit Boston 2019,300000,4/29/2019,united states
Gears of War: Ultimate Edition,2015,Third-Person Shooter,170000,3,39,ESL GoW Pro League Season 1,60000,1/10/2016,united states
